name,restaurant_type,rate,votes,avg_receipt,online_order,table_booking,cuisines_type,area
Kerala Mess,Mess,2.9,40.0,300.0,1,0,"Chinese, Kerala, North Indian",Kalyan Nagar
Kerala Mess Upahar,Mess,3.7,123.0,300.0,1,0,"Kerala, Biryani, South Indian",Bellandur
Kerala Panoor Restaurant,Quick Bites,3.5,137.0,350.0,1,0,"Kerala, Seafood, Biryani, South Indian",Bellandur
Kerala Pavilion,Quick Bites,3.8,305.0,300.0,1,0,"Kerala, South Indian, Seafood, Biryani",Koramangala 5th Block
Kerala Restaurant,Quick Bites,3.4,66.0,450.0,1,0,"Kerala, Biryani",Brookefield
Kerala Tiffin,Delivery,3.9,162.0,300.0,1,0,Kerala,Brookefield
Kerala Vibes,Casual Dining,3.6,80.0,500.0,0,0,Kerala,Indiranagar
Kesar Rajasthani Parotha Point,Quick Bites,3.9,34.0,200.0,1,0,"North Indian, Rajasthani",Basavanagudi
Kesar Restaurant,Quick Bites,3.6,48.0,200.0,1,0,"North Indian, Chinese, South Indian",Bannerghatta Road
Kesar Sweet Shop and Fast Food,Quick Bites,3.9,47.0,500.0,0,0,"North Indian, South Indian, Chinese, Street Food, Mithai",Kalyan Nagar
Kesariya,Casual Dining,4.2,174.0,1200.0,0,1,Rajasthani,Malleshwaram
Keshava Kabab Centre,Quick Bites,3.2,7.0,200.0,0,0,North Indian,Jayanagar
Keto Kitchen,Casual Dining,3.1,18.0,500.0,1,0,Healthy Food,Indiranagar
Kettle & Kegs,Delivery,2.9,9.0,200.0,1,0,"Tea, Beverages",Kalyan Nagar
Kettle On,Quick Bites,3.7,110.0,400.0,1,0,"Fast Food, Sandwich, Beverages",Electronic City
Ketty's Corner,Quick Bites,3.3,4.0,200.0,0,0,"Fast Food, Street Food, Beverages",New BEL Road
Keventers,"Beverage Shop, Dessert Parlor",3.0,14.0,400.0,0,0,"Desserts, Beverages, Ice Cream",Brigade Road
Kevins Kitchen,Quick Bites,3.7,103.0,400.0,1,0,"North Indian, Chinese, Biryani","Byresandra,Tavarekere,Madiwala"
Keys Cafe - Keys Hotel,Casual Dining,3.8,115.0,1200.0,0,0,"Chinese, Continental, North Indian",Electronic City
KFC,Food Court,2.8,,400.0,1,0,"Burger, Fast Food",Brookefield
KF's Biryani's and Kababs,Quick Bites,3.4,17.0,400.0,1,0,"Biryani, Kebab","Byresandra,Tavarekere,Madiwala"
Khai Khai,Quick Bites,3.9,50.0,450.0,1,0,Bengali,"Byresandra,Tavarekere,Madiwala"
Khan Saab Hotel,Quick Bites,3.1,16.0,300.0,1,0,"North Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala"
Khan Saheb Grills and Rolls,"Food Court, Quick Bites",2.6,24.0,400.0,1,0,"Fast Food, Rolls",Malleshwaram
Khana Khazana,Delivery,3.7,22.0,400.0,1,0,North Indian,Bannerghatta Road
Khane Ka Khazana,Quick Bites,3.5,17.0,250.0,1,0,North Indian,Brookefield
Khan's Biryani,Quick Bites,3.0,11.0,200.0,1,0,"Biryani, North Indian",Jayanagar
Khatta Meetha Teekha,Quick Bites,4.2,189.0,300.0,1,0,"Street Food, North Indian, Mithai, Chinese, Beverages","Byresandra,Tavarekere,Madiwala"
Khawa Karpo,Quick Bites,4.3,988.0,350.0,0,0,"Chinese, Tibetan, Momos","Byresandra,Tavarekere,Madiwala"
Khazana Food Paradise,Quick Bites,4.1,356.0,400.0,0,0,"North Indian, Biryani",Brigade Road
Khichadiwala,"Takeaway, Delivery",3.9,15.0,400.0,1,0,North Indian,"Byresandra,Tavarekere,Madiwala"
Khiche Chale Aao,Quick Bites,2.8,40.0,300.0,1,0,"North Indian, Fast Food",Koramangala 4th Block
Kholi Mane,Quick Bites,3.6,46.0,450.0,0,0,"Andhra, South Indian, Biryani, North Indian",Banashankari
KHOPCHA,Takeaway,4.0,154.0,200.0,1,0,"Fast Food, Rolls, Kebab",New BEL Road
Khushi Kitchen,Quick Bites,3.3,69.0,400.0,1,0,"Street Food, North Indian, Bengali, Oriya",Indiranagar
Khyma Biryani,Casual Dining,3.9,240.0,600.0,1,0,Biryani,Kalyan Nagar
Kia's Kitchen,Delivery,3.5,12.0,600.0,1,0,"North Indian, Chinese",HSR
Kichukkhon,Quick Bites,2.9,48.0,250.0,0,0,"Bengali, Oriya",Marathahalli
Kick Out the Jams,Delivery,4.0,528.0,350.0,1,0,"Burger, American, Italian",Brigade Road
Kickin Burger,Quick Bites,3.1,22.0,400.0,1,0,Fast Food,Basavanagudi
Kidambi's Kitchen,Quick Bites,3.4,52.0,300.0,0,0,South Indian,Jayanagar
Kidilum,Casual Dining,3.6,32.0,450.0,1,0,"North Indian, Chinese, Kerala",Bellandur
Kijiji - Chal Yaha Khate Hai,Quick Bites,3.7,306.0,400.0,1,0,"North Indian, Gujarati, Street Food",Kalyan Nagar
Kiko,"Takeaway, Delivery",3.4,10.0,500.0,1,0,"Salad, Chinese",Kalyan Nagar
Kim Lee Restaurant,Casual Dining,3.8,149.0,700.0,1,0,Chinese,Malleshwaram
Kinara Family Restaurant,Casual Dining,3.5,11.0,600.0,0,0,"South Indian, North Indian, Chinese",Electronic City
Kinara Tiffany,Quick Bites,3.6,15.0,100.0,0,0,South Indian,Church Street
King,Quick Bites,3.7,570.0,300.0,1,0,"North Indian, Chinese",Electronic City
King Burger Cafeteria,Quick Bites,3.1,11.0,250.0,0,0,"Fast Food, Juices",Indiranagar
King Kong,Quick Bites,3.8,63.0,300.0,0,0,"Chinese, Momos",Frazer Town
King Of Spices,Casual Dining,3.7,25.0,500.0,1,0,"South Indian, North Indian, Chinese, Biryani, Beverages",Brookefield
King Punjabi Restaurant,Quick Bites,3.8,52.0,300.0,0,0,North Indian,"Byresandra,Tavarekere,Madiwala"
Kingley Grand,Casual Dining,3.5,11.0,600.0,1,0,"Biryani, North Indian, Chinese",Brookefield
King's Appetite,"Food Court, Quick Bites",3.7,45.0,500.0,1,0,"North Indian, Chinese",Electronic City
Kings Court,Casual Dining,3.1,12.0,800.0,1,0,"North Indian, Mughlai, Chinese",Kalyan Nagar
Kings Kitchen,Delivery,3.3,7.0,500.0,1,0,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala"
Kinpeetos,Quick Bites,3.9,64.0,300.0,1,0,"Lebanese, Greek","Byresandra,Tavarekere,Madiwala"
Kirthi's Biryani,Cafe,3.8,144.0,700.0,1,0,"Chinese, Cafe, Italian",Banashankari
Kishi's Cafe,Quick Bites,3.5,14.0,500.0,1,0,"Fast Food, Street Food",New BEL Road
Kisna Cafe,Quick Bites,3.5,11.0,300.0,1,0,"South Indian, North Indian",Indiranagar
Kitchen Aroma,Takeaway,3.4,7.0,400.0,0,0,Desserts,Brookefield
Kitchen Garden,Quick Bites,3.6,244.0,300.0,1,0,"North Indian, Chinese",Banashankari
Kitchen Katta,Quick Bites,4.1,196.0,300.0,1,0,Maharashtrian,Malleshwaram
Kitchen King,Quick Bites,3.8,306.0,400.0,1,0,"Rolls, Fast Food, Biryani",Kalyan Nagar
Kitchen King Naati Style,Casual Dining,3.8,27.0,500.0,1,0,South Indian,Malleshwaram
Kitchen of Joy,Casual Dining,3.8,210.0,500.0,0,0,"Bengali, North Indian, Chinese, Rolls",Marathahalli
Kitchen On Table,Casual Dining,4.0,45.0,1500.0,1,0,"Japanese, Sushi, Asian",Indiranagar
Kitchen Online,"Takeaway, Delivery",3.3,6.0,300.0,0,0,North Indian,Brookefield
Kitchen Rabbit,Quick Bites,3.6,18.0,500.0,1,0,"North Indian, Chinese, Andhra",Brookefield
Kitchen's Sea Food Restaurant,"Takeaway, Delivery",3.4,9.0,800.0,0,0,"Seafood, North Indian, Chinese",Koramangala 4th Block
Kitchens@BTM,"Takeaway, Delivery",3.9,224.0,400.0,1,0,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra","Byresandra,Tavarekere,Madiwala"
Kitchens@HSR,"Takeaway, Delivery",3.1,247.0,200.0,1,0,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",HSR
Kitchens@JP Nagar,"Takeaway, Delivery",3.9,488.0,400.0,1,0,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",Bannerghatta Road
Kitchens@Mahadevpura,Delivery,3.9,125.0,600.0,1,0,"Italian, North Indian, South Indian, Chinese",Whitefield
Kitchens@Whitefield,"Takeaway, Delivery",3.4,215.0,400.0,1,0,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",Brookefield
Kittu's,Casual Dining,4.2,800.0,750.0,1,1,North Indian,Electronic City
KittyKo,"Bar, Lounge",4.1,179.0,3000.0,0,0,"Finger Food, Continental",Malleshwaram
Kitty's Cafe,Quick Bites,3.6,43.0,300.0,1,0,Fast Food,Malleshwaram
KKR FOODIES,Casual Dining,3.7,37.0,400.0,1,0,"Biryani, Chinese, Fast Food, North Indian","Byresandra,Tavarekere,Madiwala"
KL-58 Thalassery Cafe,Quick Bites,3.5,,200.0,0,0,Kerala,New BEL Road
KLINX - Hilton Bangalore Embassy GolfLinks,Bar,4.2,209.0,2000.0,0,1,"European, Asian",Koramangala 4th Block
Kloudish Kitchen,Delivery,3.5,15.0,250.0,1,0,"North Indian, South Indian",Kalyan Nagar
Knight Riders,Bar,2.4,25.0,1000.0,0,0,"Chinese, European",Indiranagar
Knight Ryders,Delivery,3.4,239.0,400.0,1,0,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Knowhere,Bar,3.8,52.0,1300.0,0,0,"Continental, Finger Food",Frazer Town
Kobe Sizzlers,Casual Dining,4.0,398.0,1500.0,1,0,"American, Continental, Fast Food, Steak",Kalyan Nagar
Kofabell,Casual Dining,3.2,4.0,500.0,0,0,North Indian,Marathahalli
Koithio Kitchen,Quick Bites,3.3,4.0,600.0,0,0,"Chinese, Momos",New BEL Road
Kokomo,Delivery,4.0,193.0,500.0,1,0,"Thai, Chinese","Byresandra,Tavarekere,Madiwala"
Kolbeh,Quick Bites,3.7,22.0,500.0,0,0,Fast Food,Banashankari
Kolkata Biriyani,Delivery,3.9,412.0,300.0,0,0,"Biryani, Bengali",Marathahalli
Kolkata Biryani Center,Quick Bites,3.8,40.0,250.0,1,0,Biryani,Whitefield
Kolkata Famous Kathi Rolls,Quick Bites,3.5,14.0,200.0,1,0,"Fast Food, Rolls",Electronic City
Kolkata Famous Kati Roll,Kiosk,3.3,7.0,100.0,0,0,"Fast Food, Rolls",Sarjapur Road
Kolkata Famous Kati Rolls,Kiosk,3.1,4.0,200.0,1,0,"Fast Food, Rolls",Kalyan Nagar
Kolkata Famous Katti Rolls,Quick Bites,3.4,8.0,200.0,1,0,"Fast Food, Rolls",Brookefield
Kolkata Hot Roll,Quick Bites,3.4,4.0,150.0,1,0,Rolls,New BEL Road
Kolkata Kathi Rolls,Quick Bites,3.8,23.0,150.0,1,0,Rolls,Bannerghatta Road
Kolkata Kathi Roll's,Quick Bites,3.6,18.0,250.0,1,0,"Fast Food, Rolls",Banashankari
Kolkata Kati Roll,Quick Bites,3.4,14.0,150.0,1,0,Rolls,New BEL Road
Kolkata Kati Rolls,Kiosk,2.9,17.0,200.0,0,0,"Fast Food, Rolls",JP Nagar
Kolkata King,Quick Bites,3.4,6.0,300.0,1,0,"Fast Food, Rolls",Banashankari
